examination_title,update_date,section_type,examination_info_sort,title,question_number,question_message,answer_type,answer_number,answer_message,answer_pic_url,map_question,map_answer,time
health_14_35_days,20200111,default_info,"",기본정보,1,보호자 성명,string,empty,empty,empty,empty,empty,1611500400
health_14_35_days,20200111,default_info,"",기본정보,2,보호자 생년월일,string,"","","","","",1611500400
health_14_35_days,20200111,default_info,"",기본정보,2,보호자 성별,gender_select_one,1,여성,"","","",1611500400
health_14_35_days,20200111,default_info,"",기본정보,2,보호자 성별,gender_select_one,2,남성,"","","",1611500400
health_14_35_days,20200111,default_info,"",기본정보,3,보호자 연락처,string,"","","","","",1611500400
health_14_35_days,20200111,default_info,"",기본정보,4,수검자와의 관계,string,"","","","","",1611500400
health_14_35_days,20200111,default_info,"",기본정보,5,수검자 성명,string,"","","","","",1611500400
health_14_35_days,20200111,default_info,"",기본정보,6,수검자 생년월일,string,"","","","","",1611500400
health_14_35_days,20200111,default_info,"",기본정보,6,수검자 성별,gender_select_one,1,여성,"","","",1611500400
health_14_35_days,20200111,default_info,"",기본정보,6,수검자 성별,gender_select_one,2,남성,"","","",1611500400
health_14_35_days,20200111,default_info,"",기본정보,7,E-mail(메일)주소,string,"","","","","",1611500400
health_14_35_days,20200111,default_info,"",기본정보,8,"※ 영유아건강검진은 영유아의 정상적인 성장과 발달을 확인하는 것이 목적이며, 특정 질환의 발견을 위한것이 아닙니다. 이사실을 이해하셨습니까?",boolean,"","","","","",1611500400
health_14_35_days,20200111,default_info,"",기본정보,9,※ 신체진찰 중 생식기에 대한 진찰에 동의하십니까?,boolean,"","","","","",1611500400
health_14_35_days,20200111,baby_info,"",아이정보,1,아이의 생년월일,string,"","","","","",1611500400
health_14_35_days,20200111,baby_info,"",아이정보,2,출생시 체중,string,1,"kg (소수 첫째 자리까지, 단 미숙아는 둘째자리까지)","","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,4,"유선염, 유방울혈, 등 유방에 문제가 생겼을 때 더 열심히 모유 수유를 해야 문제해결이 되는 것을 알고 있습니까?",list_select_one,2,아니오,"","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,4,"유선염, 유방울혈, 등 유방에 문제가 생겼을 때 더 열심히 모유 수유를 해야 문제해결이 되는 것을 알고 있습니까?",list_select_one,3,해당 없음,"","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,5,완전모유수유 시에는 아이에게 비타민 D가 부족해질 수있습니다. 비타민 D를 먹이고 있습니까? ,"","","","","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,5,완전모유수유 시에는 아이에게 비타민 D가 부족해질 수있습니다. 비타민 D를 먹이고 있습니까? ,list_select_one,1,예,"","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,5,완전모유수유 시에는 아이에게 비타민 D가 부족해질 수있습니다. 비타민 D를 먹이고 있습니까? ,list_select_one,2,아니오,"","","",1611500400
